CID,1978,71771,54676537,6077,1986,1989,2244,2022,6100671,2082,5311000,71764,5574,2119,5280723,3678,9852573,2130,37768,16231,564,2145,9433,2157,11065,2165,2170,33613,6249,3698,2200,6005,2230,68827,2247,74989,174174,9444,2265,5742832,441397,11980094,2284,54766,2315,25137901,2333,2337,7699,54679348,5904,2351,12457,68643,9782,2369,67519,2370,64971,39042,171548,2381,2405,68844,31101,2446,2448,6834,5281004,2466,2471,2474,444,2477,24360,1548943,44093,5831,2554,31072,2564,2576,2578,2583,51039,47965,6024,456255,33255,5479537,5362065,44187,10695961,53025,441199,5481173,23670318,122724,2662,55182,10133,2708,5959,2710,2717,25295,2719,2725,2726,2727,667467,2733,2749,2756,3025,1547484,2762,2763,2764,2769,2771,26987,2783,446598,2794,2796,1548953,68539,2803,2812,6098,2818,6167,2882,5311498,2895,2905,6234,2913,5284537,5353562,28417,6604100,2955,30323,451668,2973,5965,54686764,16219259,2995,5743,39912,131204,5360696,3019,3033,3038,23675786,54676038,667476,15432,448537,71415,3059,2724385,10531,62920,5280360,3100,3103,3108,3114,3117,180081,36811,3151,65340,5284549,5282426,3157,667477,31703,54671203,11224,3168,3180,9051,3194,68589,5388962,3229,223368,5280793,12560,5757,5756,5284555,3278,14052,3291,3292,3305,3308,667484,36462,60198,5702160,3333,3335,3339,3342,3343,57363,3354,3356,21319,3366,31378,3371,941361,82153,9642,9878,3386,5281881,3372,3394,3396,3397,5311101,446155,5324346,6037,104741,3440,3000226,3446,6604561,9651,6172,3454,123631,5288382,3463,5280961,3467,3488,3475,3476,3478,91610,3503,441140,5702063,38521,3518,3519,443943,37393,3559,10770,8362,3637,3639,5754,3647,3658,154417,5905,3689,3690,5311181,123596,104838,8228,3702,3718,657308,60838,3759,3762,22297,3767,5282379,3784,6321424,5282165,3822,456201,3825,3826,5282408,3869,3883,47499,3899,3902,26879,39468,54385,6047,13109,3676,3000540,5920,5362119,28864,101616,3948,3950,3955,5284585,53232,3964,54707177,3998,4011,4030,4032,54676539,4037,247839,4044,40692,11683,896,4054,4055,3677,4060,4992,667490,441130,4075,4078,5906,4091,4100,4107,126941,6082,38853,8226,6741,4167,4168,4170,4171,4173,4174,4178,4184,4189,4195,55245,4197,4199,54675783,4201,4212,3651377,23897,441335,7638,4810,4261,446541,4409,39147,8982,47641,4418,4421,5284596,5360515,4436,156391,8378,441306,4474,34040,938,4485,4488,4493,4495,4497,4507,11865,6604200,3033637,4528,4534,6230,4539,4543,275196,54675769,4581,4583,4594,4595,4086,3034010,4601,439501,4614,4631,4633,4634,4636,54675779,36314,4680,1983,4688,165580,43815,37464,4735,4740,47812,4746,4748,4754,8691,61100,13266,4760,4761,5284441,91430,10297,5983,5910,16362,4828,4829,638024,4843,4848,4850,68802,54676228,33478,115163,5359226,5881,4891,4893,6714002,5755,5865,8955,4908,4909,4911,4912,4913,9703,4917,4919,5994,6178111,4927,4932,4943,4946,657298,4976,1046,6019,4993,5280804,6307,441074,54900,5362129,3001055,54477,65981,5280954,5770,445154,37542,493570,656837,6323490,5381226,5070,5311412,5073,33572,5090,5092,77999,6915744,2083,441243,3000322,5186,26757,65863,54454,5284616,5258,66245,188803,15541,5833,44259,19649,29327,5320,17134,5325,5328,358641,5333,5335,5336,5359476,5342,1548887,5355,5359,1935,445643,2733526,6505803,54677971,5401,5403,441383,5405,6013,54675776,5419,5426,5429,2153,1130,5440,9915886,92178,5452,5467,5468,36921,5472,33624,5803,38945,5503,5504,5505,5509,5510,3969,5284627,41781,5526,19493,5531,62935,444795,31307,5546,5560,444732,20299,5566,5568,6256,9458,5572,21109,5576,5578,5584,5282443,5591,202225,5593,71388,5639,31401,119607,3121,14969,3455,62969,21704,5665,13342,15376,443955,5311,312145,5709,448042,8969,5723,35370,5311507
1978,100,59,62,55,12,50,61,24,49,34,30,56,40,71,33,39,52,17,33,18,21,54,23,61,36,52,59,57,51,46,48,50,29,22,51,44,54,26,15,26,50,53,45,60,44,45,52,62,70,48,49,53,50,40,31,68,3,19,27,68,26,45,68,38,45,70,51,40,32,63,70,55,51,29,53,66,22,16,48,16,51,24,14,80,52,60,48,52,23,29,32,51,31,27,46,42,58,31,38,46,23,55,59,40,39,36,41,40,38,34,31,54,34,17,67,41,63,50,57,73,46,48,55,37,40,46,54,44,39,33,54,41,60,62,48,36,51,18,37,28,14,43,59,37,60,25,25,60,54,27,51,31,42,29,51,38,54,23,53,53,45,24,45,31,50,29,44,65,33,50,51,28,50,10,41,55,42,50,36,33,55,56,60,59,55,58,66,28,54,42,55,48,45,28,34,42,43,50,54,23,21,50,8,54,46,46,28,15,47,43,56,52,56,37,65,73,54,14,30,61,40,32,31,31,61,37,47,40,49,52,30,50,42,50,39,63,32,28,61,57,51,26,50,51,54,56,32,66,36,46,44,60,48,51,31,22,15,41,30,41,51,64,57,33,36,30,42,47,54,31,54,16,30,45,38,48,50,60,53,60,53,57,24,45,27,50,35,41,56,55,45,52,44,71,46,54,55,34,37,74,47,55,28,53,38,60,53,43,59,57,20,50,55,35,57,56,37,38,47,20,55,57,31,63,53,29,59,17,42,42,48,51,15,39,68,39,55,7,12,53,48,61,53,49,31,34,70,49,69,16,47,59,47,41,65,52,47,46,68,18,68,42,50,29,50,28,58,52,50,64,65,39,69,50,55,54,36,49,27,39,61,49,48,55,51,48,53,61,59,46,53,18,47,45,28,58,39,60,65,54,64,47,42,56,34,49,30,61,62,71,52,48,58,61,53,63,40,27,53,68,54,25,40,22,41,71,36,39,38,39,42,60,56,52,61,31,47,64,63,56,19,47,47,42,48,49,22,20,31,47,56,31,31,31,30,57,45,50,40,60,55,37,46,26,42,40,78,45,66,25,40,24,49,35,56,48,56,55,52,56,66,77,55,56,40,23,57,26,58,58,44,32,54,59,43,65,59,33,58,56,52,50,40,36,34,46,39,60,28,32,26,51,32,30,42,44,34,33,48,38,34,36,43,43,37,69,41,40,44,55,54,41,54,55,55,47,31,57,37,52,20,20,29,38,60,37,39,68,42,42,33,29,52,55,37,39,40,52,60,56,17,45,26,39,22,39,27,33,34,37,61,47,42,43,32,57,46,59,17,47,48,41,57,31,56,46,64,23,50,18,56,49,53,27,27,57,48,47,55,50,38,51,50,53,35,36
71771,59,100,52,53,11,45,43,23,50,38,33,45,45,47,33,44,44,19,29,22,24,58,20,40,41,51,51,47,49,46,53,44,26,25,41,50,54,21,14,25,49,40,62,44,47,46,37,61,66,46,48,55,42,43,31,46,3,16,30,62,25,44,46,36,46,46,47,43,32,49,53,57,54,28,53,50,21,15,59,16,54,22,14,57,52,49,42,47,19,25,30,43,26,22,43,40,38,35,44,64,26,68,56,50,48,46,51,50,49,39,42,51,34,15,53,45,49,48,56,56,43,53,62,34,53,47,45,61,54,42,47,50,42,48,42,40,52,13,41,33,12,37,43,45,42,22,21,48,48,24,58,31,51,24,40,50,90,33,48,44,42,23,43,31,44,28,45,56,32,46,48,28,51,8,45,48,51,45,35,36,42,42,42,46,54,56,46,28,58,47,54,46,41,30,30,37,38,43,50,18,22,49,8,57,42,39,29,16,60,50,54,46,47,33,46,47,47,13,31,68,44,32,33,31,46,38,48,52,52,55,30,53,43,49,34,56,31,32,45,42,35,23,45,47,42,42,28,50,36,43,43,43,40,42,44,20,13,56,34,49,55,56,45,37,46,31,44,58,54,25,46,18,31,44,28,56,57,63,54,48,42,45,22,44,29,52,34,37,55,49,51,54,43,50,37,46,45,37,38,49,54,50,29,55,30,50,52,44,52,55,20,55,57,38,49,45,40,41,48,19,49,77,30,69,51,35,46,19,42,44,49,41,14,30,56,42,45,6,10,41,45,43,51,48,31,38,54,55,47,14,46,41,52,46,44,55,46,47,54,18,54,57,47,33,42,23,52,39,41,45,45,43,51,49,43,42,40,45,23,33,60,44,47,60,50,51,42,61,61,31,36,16,52,42,29,56,43,44,48,45,48,38,43,44,30,45,29,50,41,53,58,39,45,50,45,54,43,23,42,46,44,20,42,22,51,54,43,42,41,42,45,50,51,48,49,33,49,48,49,41,17,46,38,45,45,48,19,20,32,47,41,34,31,32,32,44,47,47,37,54,49,47,46,27,51,44,50,39,46,25,44,22,42,47,42,53,44,41,51,36,42,57,45,45,39,18,51,23,41,41,35,30,41,49,49,47,45,29,45,52,51,49,41,40,37,40,49,54,24,27,29,46,28,24,45,37,37,37,38,43,38,40,43,48,46,44,44,49,38,41,45,37,43,44,50,46,31,45,40,49,18,17,28,41,40,41,42,43,45,38,44,20,47,56,37,41,39,55,49,38,17,45,31,42,23,48,29,31,40,47,57,46,45,46,27,41,46,43,16,37,55,45,45,30,55,41,46,26,45,22,46,45,43,25,30,48,54,47,59,38,38,50,53,40,27,44
54676537,62,52,100,48,8,41,68,15,44,30,35,43,39,54,37,39,41,18,20,13,21,52,15,57,38,46,54,50,42,37,41,53,27,27,45,53,52,16,14,20,40,45,48,54,38,39,57,64,58,52,41,46,48,32,37,53,2,12,33,59,21,48,52,28,40,55,51,38,35,63,60,45,41,24,48,55,20,11,44,13,45,17,8,61,45,53,39,44,18,22,24,46,23,20,38,34,46,41,37,43,29,55,56,39,36,33,34,38,36,27,34,50,36,10,54,40,55,58,51,57,46,47,47,23,36,50,55,42,31,33,48,34,52,63,36,39,52,11,40,35,10,52,64,39,56,16,17,58,51,25,44,37,51,17,53,34,53,24,47,73,54,22,54,36,59,34,39,59,36,49,50,23,42,7,40,51,35,49,28,35,44,58,56,57,53,47,61,34,49,41,45,42,56,31,29,49,48,50,54,12,15,40,8,51,39,54,35,12,51,52,59,67,51,32,67,54,48,10,36,58,39,35,36,36,55,35,40,52,44,50,34,49,40,43,44,54,40,28,59,55,46,17,41,44,61,63,22,52,32,40,35,52,51,54,30,15,9,38,33,42,51,54,62,35,31,37,36,41,52,19,54,8,35,37,28,45,41,59,52,53,51,46,17,34,33,56,39,38,47,47,55,49,46,56,40,48,48,34,34,59,51,55,36,42,24,65,44,37,55,51,13,50,47,42,56,55,36,39,42,16,53,54,36,60,44,38,48,19,45,38,42,47,9,28,66,36,51,4,9,52,40,57,57,41,37,38,55,40,52,15,42,55,45,38,54,58,38,38,62,15,56,45,40,34,58,19,47,57,58,54,55,42,60,46,54,53,35,62,19,28,67,44,44,67,44,45,61,68,69,48,50,16,46,53,36,52,37,55,62,50,59,39,39,48,27,49,35,58,47,65,55,45,56,51,51,54,38,19,52,56,56,17,36,19,36,58,33,37,35,44,40,56,52,48,54,28,41,48,53,50,11,38,42,38,43,40,16,19,36,45,45,38,37,38,35,46,42,49,49,48,40,35,50,33,34,38,60,53,55,21,40,16,44,35,58,38,51,55,44,50,51,68,50,50,50,14,44,18,54,54,40,37,55,52,50,55,48,29,51,44,50,48,37,34,42,40,46,51,19,21,35,38,20,19,41,37,30,34,48,38,30,31,40,41,46,51,48,40,38,57,42,35,43,48,48,48,36,57,35,41,13,13,22,36,51,36,36,51,48,33,32,16,64,43,32,33,33,50,60,56,15,35,28,39,18,34,33,35,33,31,56,51,39,40,21,64,50,50,13,43,46,38,58,27,47,52,51,29,58,23,49,46,53,18,25,50,45,44,48,54,33,41,46,50,21,34
6077,55,53,48,100,12,60,38,20,51,42,29,40,77,37,26,52,38,20,21,22,17,60,24,43,47,48,45,47,53,52,57,47,29,20,43,45,50,15,23,28,51,41,43,37,64,51,36,53,57,44,51,60,42,47,30,37,3,16,26,46,25,46,36,45,46,47,54,52,27,41,55,63,55,35,52,42,22,14,59,18,48,17,11,51,54,51,48,46,22,32,32,46,31,24,47,47,40,32,51,50,21,60,44,54,53,47,51,52,70,38,54,37,38,21,53,56,46,31,60,49,42,44,45,27,50,29,41,59,42,42,46,49,37,39,39,48,46,12,52,30,14,42,45,54,38,15,21,48,39,17,63,30,43,18,45,50,55,30,46,37,39,22,39,30,40,23,46,60,26,45,50,33,60,15,52,42,49,37,46,54,40,41,38,43,50,68,52,36,66,36,45,50,40,27,25,34,33,44,34,16,20,53,6,45,45,32,37,22,42,49,39,38,40,39,50,46,46,14,29,59,54,27,26,30,41,58,77,43,60,55,33,50,39,51,36,47,26,24,43,39,33,20,38,36,34,40,21,50,46,55,55,54,38,33,36,15,17,45,25,40,54,51,40,43,49,29,59,50,50,20,46,15,24,52,32,64,62,63,50,44,48,38,24,53,29,46,26,31,69,40,49,54,64,49,40,40,52,41,49,45,53,40,31,58,28,40,46,49,58,59,17,51,52,31,46,40,49,45,50,20,40,55,30,61,49,31,41,21,52,46,51,45,17,32,51,71,38,8,14,28,50,36,39,49,30,61,47,64,37,15,60,36,63,37,37,60,53,50,52,22,53,55,53,28,33,21,53,33,39,36,45,53,50,55,39,38,42,37,17,27,58,47,48,51,50,50,38,53,54,29,36,25,66,36,31,61,45,45,42,38,51,40,51,38,23,44,23,46,32,51,47,37,42,43,46,46,50,17,36,37,39,28,52,26,66,44,44,42,44,49,55,45,50,42,44,31,56,39,50,42,18,55,39,53,49,51,23,23,30,60,42,28,30,31,30,45,51,54,42,65,57,67,46,34,46,74,45,36,38,28,47,28,40,43,36,60,44,50,43,44,43,54,43,43,34,13,52,17,38,39,40,31,50,43,51,40,47,24,39,56,47,61,49,38,30,34,43,50,19,22,34,49,20,16,51,41,45,43,42,47,44,47,49,63,50,49,51,55,32,41,38,44,40,38,41,46,31,43,43,56,22,21,35,70,38,64,71,52,53,41,53,19,37,57,48,42,48,56,55,37,12,56,22,42,29,49,29,29,46,50,68,47,79,82,21,36,49,40,16,37,64,54,42,25,55,35,48,21,53,17,34,46,41,21,23,40,51,53,57,34,41,56,50,35,23,54
1986,12,11,8,12,100,23,8,26,10,20,9,15,10,12,11,10,16,13,17,22,21,17,26,11,9,9,12,17,20,15,15,8,17,10,15,8,13,28,20,31,19,15,13,13,17,19,8,12,12,16,20,12,9,12,9,12,28,25,10,12,28,10,12,25,13,12,10,8,9,14,13,16,14,19,12,13,24,26,15,32,9,24,32,12,17,15,20,24,37,27,26,23,27,33,20,20,17,10,18,11,11,10,13,9,20,12,10,8,9,26,10,14,18,27,12,8,10,8,11,11,11,11,11,21,12,9,9,8,16,13,15,13,12,6,15,9,13,29,9,10,33,11,15,17,9,29,28,11,10,10,11,9,10,23,8,21,12,16,15,7,8,20,8,9,7,8,12,11,11,10,10,15,13,24,13,12,17,11,25,11,13,9,9,11,10,17,10,12,14,14,18,17,9,9,12,8,7,15,7,24,32,22,14,12,16,7,11,35,13,9,7,8,11,19,9,12,15,29,9,12,8,9,9,9,12,11,10,10,17,16,11,11,14,15,10,14,9,17,17,9,10,25,12,15,8,7,16,17,25,26,20,17,7,8,14,24,20,18,8,8,10,14,8,16,18,10,18,10,13,25,10,20,11,19,21,8,18,13,13,11,15,12,17,15,12,14,9,10,15,14,9,11,15,13,17,21,16,20,18,12,11,11,10,17,22,11,18,15,11,12,28,12,14,10,10,14,18,11,18,16,10,11,10,12,10,10,14,14,11,13,23,12,25,21,11,12,12,25,60,12,15,11,12,14,9,10,12,19,12,23,11,11,8,13,14,10,16,21,11,22,10,12,15,9,7,21,13,8,8,11,14,8,8,14,8,8,16,8,16,14,12,9,10,13,15,20,15,13,13,14,21,29,10,8,10,12,13,8,10,11,8,17,14,12,18,10,8,11,13,11,11,15,11,11,8,16,9,16,11,12,13,24,16,14,10,15,16,16,15,10,9,9,18,12,14,19,15,11,16,12,32,18,12,12,21,19,26,17,11,13,13,9,9,10,11,10,21,16,11,16,17,9,12,12,18,10,12,8,11,37,12,18,9,14,6,19,8,11,17,19,14,11,10,10,7,32,18,18,13,12,17,10,14,12,14,15,19,13,12,12,12,14,9,14,10,11,10,17,23,16,12,12,19,24,24,19,20,33,17,19,25,19,19,19,13,19,14,9,11,9,16,24,14,12,15,10,11,11,16,17,28,27,22,10,12,14,10,17,14,22,12,31,8,17,24,17,26,12,10,16,20,20,18,10,21,17,12,9,13,17,15,10,9,9,24,8,9,11,26,14,8,10,16,12,12,9,17,11,17,15,9,9,9,18,19,10,11,12,18,8,17,15,12,15,27,11
1989,50,45,41,60,23,100,45,20,37,36,31,35,44,47,30,55,44,24,27,18,24,58,24,45,51,34,38,53,59,46,48,40,31,21,36,48,53,24,17,32,57,40,52,45,58,54,39,50,53,56,60,47,32,38,33,46,5,21,27,52,36,46,46,53,37,47,54,37,29,50,53,56,68,31,40,48,27,18,51,22,36,30,22,44,60,55,53,52,27,32,33,48,32,27,51,40,45,35,46,46,23,49,47,49,56,37,38,37,40,65,49,33,41,21,44,51,38,36,50,46,45,47,44,33,38,33,41,43,41,37,44,41,47,42,36,52,51,19,52,32,19,39,42,51,43,25,31,41,42,21,51,33,50,29,41,47,47,43,44,40,43,27,43,32,45,24,37,46,31,48,49,23,47,16,51,50,43,45,56,52,33,43,43,47,39,61,54,39,55,36,59,46,43,29,28,36,36,52,39,24,27,66,9,37,40,33,40,23,49,54,44,42,49,48,50,52,44,20,31,50,50,29,28,33,48,50,45,49,51,48,34,40,50,46,37,48,29,31,55,36,35,21,30,41,39,44,26,66,64,82,61,65,40,36,43,20,21,55,27,40,54,64,45,37,48,32,56,47,53,29,46,19,28,49,37,47,61,53,53,34,45,47,35,43,33,41,28,34,58,34,55,43,60,55,34,45,47,43,49,52,53,50,33,53,34,49,60,43,61,51,32,51,60,33,36,49,65,53,46,26,44,46,32,51,38,34,38,25,61,58,63,35,17,38,46,44,48,12,23,36,43,44,47,41,33,53,47,63,47,14,47,45,46,35,48,48,46,43,44,23,45,39,45,30,38,18,47,37,43,43,48,48,36,46,37,36,50,41,21,32,50,34,39,49,43,47,39,49,50,25,40,25,48,40,33,50,56,40,42,46,40,34,42,47,34,47,24,40,41,47,50,43,46,48,34,42,50,21,40,44,41,26,41,31,38,40,35,56,53,56,40,43,47,52,42,29,50,34,42,45,25,47,32,40,50,57,26,25,32,58,36,31,33,34,32,35,66,70,42,64,68,39,49,37,43,44,53,40,45,36,58,22,32,38,38,62,32,47,55,47,49,48,34,35,39,19,45,23,42,41,31,34,44,51,59,49,41,27,48,47,50,61,54,34,32,37,51,54,29,26,34,40,27,28,57,41,44,45,40,52,43,46,47,49,55,64,53,38,36,43,46,43,33,46,33,46,34,48,52,63,21,21,27,40,44,45,42,61,55,48,44,23,42,56,68,53,81,45,40,41,18,56,31,54,20,39,33,31,36,47,60,51,46,47,30,42,49,42,21,35,47,39,45,28,45,40,44,23,56,21,36,45,43,18,30,32,37,38,53,36,50,50,40,42,33,47
2244,61,43,68,38,8,45,100,13,33,23,34,35,27,62,43,39,38,13,18,10,23,40,11,65,38,36,45,50,42,30,30,46,31,27,36,58,56,16,6,17,40,43,50,58,28,35,68,60,54,57,43,35,38,25,36,59,1,13,33,63,20,48,60,27,29,54,53,27,36,69,55,37,46,19,39,57,19,11,34,13,36,18,7,52,43,52,40,43,17,18,21,43,20,20,39,27,50,42,27,38,29,46,41,33,36,26,25,27,24,31,32,43,30,7,47,34,51,68,44,53,45,46,40,22,24,63,58,30,25,25,41,25,53,78,27,39,60,10,37,35,9,40,51,29,59,16,14,48,47,33,32,36,63,18,49,25,44,29,40,83,63,24,63,36,77,34,28,50,43,52,51,14,33,6,32,51,25,54,28,35,36,62,59,52,43,38,70,35,43,35,48,41,60,32,28,52,51,50,68,12,15,41,11,44,35,57,35,9,50,62,70,76,51,26,72,62,41,9,35,53,33,36,37,36,58,33,29,60,31,35,34,40,42,34,46,50,41,29,70,53,54,15,33,41,77,78,20,55,34,37,29,49,59,62,35,16,8,42,33,40,53,62,82,28,23,35,28,35,56,19,51,8,39,30,29,32,35,48,55,45,43,49,18,32,40,40,43,38,36,38,65,43,49,59,33,47,39,28,32,66,49,60,35,36,22,68,47,25,58,45,11,49,45,46,47,51,36,34,34,12,48,49,35,54,33,39,40,13,57,39,41,41,5,28,68,25,55,4,9,63,32,62,62,28,37,33,54,33,60,9,36,64,31,34,59,42,31,28,48,11,48,33,32,33,71,16,40,72,64,57,56,35,48,43,49,49,32,70,17,26,45,36,43,47,40,33,46,48,48,41,43,10,31,58,35,45,37,55,59,56,54,33,30,51,26,51,35,54,54,61,59,46,51,48,40,48,39,17,50,60,56,14,24,12,25,52,24,40,38,52,29,55,42,52,46,24,28,42,45,55,11,32,37,25,36,39,15,14,35,39,38,38,37,37,35,38,43,62,54,43,45,24,50,32,26,26,72,64,57,19,37,13,39,27,68,33,40,56,45,48,58,62,41,42,61,13,33,16,53,54,33,37,44,52,58,56,43,27,55,35,52,42,39,30,45,39,59,42,18,20,34,29,21,17,33,30,22,26,36,30,22,23,33,30,51,60,58,28,36,60,40,29,35,51,39,46,36,53,32,42,10,10,18,24,51,25,25,61,60,36,30,15,78,36,36,35,37,45,47,65,18,27,30,38,12,25,40,36,25,22,44,51,28,29,21,91,50,52,15,40,32,28,57,25,41,61,43,29,46,29,45,46,52,13,26,41,34,34,37,62,32,32,36,55,21,32
2022,24,23,15,20,26,20,13,100,22,40,14,35,18,20,14,13,31,11,25,64,18,21,71,16,13,26,22,22,25,37,28,15,24,13,38,12,20,37,50,42,24,36,15,19,20,21,12,20,24,19,24,25,26,32,15,19,16,23,15,19,26,15,19,22,31,21,16,27,15,16,18,27,19,46,34,20,24,22,24,25,28,22,20,23,24,22,26,30,42,42,44,29,42,38,26,40,25,12,24,22,14,22,22,15,17,34,27,27,17,19,11,20,21,56,29,16,23,13,25,19,16,16,20,27,23,13,13,18,29,36,27,27,17,14,42,13,18,24,13,13,34,23,25,16,15,38,23,20,19,17,21,15,13,24,13,22,20,9,26,12,11,24,11,14,12,15,32,20,15,15,15,50,34,13,17,16,29,14,18,12,33,14,15,21,31,31,17,14,24,34,26,38,12,14,20,12,13,17,13,26,22,29,10,28,51,13,13,38,18,14,12,11,16,22,15,20,27,25,15,23,16,15,15,15,15,17,22,13,30,23,14,30,19,45,11,22,15,17,19,17,16,95,32,28,13,13,22,18,17,23,41,18,13,12,16,26,23,19,15,14,16,19,13,21,20,15,20,22,20,37,16,19,14,39,30,19,22,25,20,30,28,18,17,32,14,26,16,19,29,36,13,33,17,20,36,29,30,28,22,20,16,16,14,28,28,15,25,34,20,25,22,16,25,15,20,21,14,13,40,15,19,21,15,23,27,13,30,11,13,15,29,33,65,28,17,17,16,19,24,18,42,15,16,36,15,12,21,25,20,51,30,14,19,34,20,21,35,32,22,30,23,27,37,14,12,49,33,14,11,18,21,13,21,38,16,15,22,12,22,22,21,28,30,19,39,29,15,21,20,20,27,36,18,11,14,25,14,16,20,15,21,34,42,17,20,15,15,29,20,19,19,21,20,19,25,23,15,22,16,20,18,73,28,15,22,23,36,14,18,14,29,15,25,16,24,51,28,31,30,19,29,45,35,30,38,24,29,20,16,21,35,14,15,15,15,27,23,16,10,25,21,18,17,14,26,19,20,10,18,28,14,58,29,36,13,25,26,16,25,23,21,22,25,25,10,52,36,21,25,21,28,15,29,17,13,19,35,23,17,33,19,20,14,30,14,21,12,21,26,23,13,33,27,26,20,38,39,21,35,16,31,34,34,23,13,21,14,26,21,13,29,40,35,17,29,16,16,19,22,26,81,77,49,18,18,19,17,19,14,23,14,47,11,26,16,24,19,34,17,20,17,31,18,13,49,28,14,15,38,20,25,15,18,17,37,12,15,18,24,35,19,30,17,17,31,13,28,14,23,14,18,16,14,63,20,26,32,32,26,14,22,33,31,19,39,17
6100671,49,50,44,51,10,37,33,22,100,36,33,44,51,44,31,44,38,19,27,17,16,51,24,39,44,49,46,45,45,44,52,55,23,24,48,39,59,24,19,22,43,38,42,46,46,42,33,46,51,41,44,62,51,40,35,45,5,16,34,38,23,58,45,42,50,43,46,47,34,38,43,56,39,34,57,44,23,13,52,17,50,20,10,56,41,45,36,43,18,24,25,43,23,21,36,37,34,33,43,49,30,55,52,50,41,43,46,47,46,30,39,41,33,18,50,52,48,36,55,45,49,50,52,32,46,29,42,53,40,42,41,47,42,36,46,43,49,14,47,34,11,45,42,38,39,24,17,49,45,22,56,35,42,23,51,39,51,24,40,36,42,22,41,34,35,36,51,48,30,47,53,39,49,12,55,48,50,42,38,39,47,45,39,47,51,53,43,32,50,42,50,45,44,39,30,48,48,47,30,22,17,46,8,53,43,41,30,16,39,39,33,38,50,35,42,44,41,11,34,50,51,34,33,35,43,47,58,41,55,48,33,56,41,43,43,43,34,25,37,56,37,23,44,35,38,36,31,38,41,41,41,44,38,33,32,20,17,34,32,47,46,44,39,39,39,35,44,52,59,26,56,16,33,43,30,57,48,60,58,57,40,50,22,39,27,49,36,37,55,44,42,50,44,48,40,40,43,39,45,42,53,41,34,54,34,38,50,50,53,55,16,50,44,35,48,44,38,45,41,26,44,46,35,52,59,32,50,20,36,42,46,46,17,33,42,50,48,7,11,33,43,46,40,53,35,47,43,45,44,20,46,40,62,41,46,62,43,50,52,21,52,50,47,33,37,21,46,36,36,45,43,47,58,47,49,48,41,37,28,37,51,52,43,50,44,48,38,49,48,25,33,20,58,41,34,55,42,49,43,46,53,43,45,50,24,47,35,41,39,46,47,47,49,46,50,48,44,28,46,47,41,26,50,25,52,45,40,38,39,37,50,45,54,49,57,35,58,51,46,43,17,45,46,55,45,44,21,20,37,55,44,33,35,35,37,50,43,40,39,48,41,49,55,30,42,52,41,42,45,20,43,22,48,40,35,42,61,41,52,34,42,52,52,51,38,22,56,26,42,43,36,36,48,51,35,46,42,30,48,55,59,46,44,39,36,39,37,57,21,28,30,51,28,26,40,35,37,36,40,38,36,38,38,45,39,42,38,48,38,42,37,38,47,49,47,58,36,47,43,48,21,21,33,50,43,49,51,39,38,39,42,25,34,53,38,40,37,50,51,36,19,43,22,41,29,46,27,35,42,39,51,53,54,51,27,32,55,49,15,40,58,50,40,27,55,44,48,30,41,17,41,51,47,32,22,50,64,59,47,37,42,46,63,35,29,46
